,price_sim_1,volume_sim_1,price_sim_2,volume_sim_2,price_sim_3,volume_sim_3,price_sim_4,volume_sim_4,price_sim_5,volume_sim_5,price_real_1,volume_real,vol_realized_sim_1,vol_realized_sim_2,vol_realized_sim_3,vol_realized_sim_4,vol_realized_sim_5,vol_realized_real
2025-11-11 19:37:19.229527,40885.28,,40885.28,,40885.28,,40885.28,,40885.28,,40885.28,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11 19:38:19.229527,40874.77567403329,10.935149266889125,40840.04228127328,14.650029260877771,40879.516857401766,9.103560784528517,40868.09678708282,357.83070354474285,40888.49076272442,62.2720870285725,40859.71,8.09216,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11 19:39:19.229527,40881.025351741024,12.095852287987396,40860.59495344251,15.004913171152399,40865.045199693115,14.779777778004272,40868.43675352206,376.51649251094994,40907.77788474905,16.88810770305809,40842.64,14.33565,0.0002049207139771525,0.0008050944786965886,0.00010655071445331288,0.0002143428241634382,0.00019653068001268537,0.00010387293273605991
2025-11-11 19:40:19.229527,40912.89927212952,11.041291268793621,40851.2748725881,9.586886414697634,40855.951135235926,43.38792439147778,40834.6935772279,39.75772227818386,40904.869398092116,13.610205524284584,40855.01,6.88399,0.0004261488572191453,0.0006582781469543337,8.779009796524141e-05,0.0003406503510497746,0.00022886167990355407,0.00039784413941266675
2025-11-11 19:41:19.229527,40956.51771447205,37.21698928624452,40848.41241278577,15.300325231602862,40866.86981721064,80.09254231573033,40821.19892903428,55.856292227975565,40887.55038832257,25.658460851569668,40869.07,13.00928,0.0005183118978018164,0.0005771080879046049,0.00023208956201335734,0.00029714904758961196,0.0003210096475817664,0.00042917619458651603
2025-11-11 19:42:19.229527,40990.33442617735,2.314100450383611,40858.620526280094,11.027822744102162,40856.69583458255,8.557404335813457,40802.572474965506,447.27856326062266,40873.400286676246,74.19125666555257,40903.98,8.6337,0.0004891506427707018,0.0005500951974897844,0.00021463622778855496,0.0002670180784371486,0.0003212095476718143,0.0005409773978493185
2025-11-11 19:43:19.229527,40994.84274950659,15.183178275261566,40880.127732137546,43.54105122673388,40856.74213836254,6.8839208090529755,40819.79269843023,10.469500079772924,40855.230140596825,10.30665768049499,40871.1,11.72053,0.00047114356918348044,0.0005586290682365899,0.00020285998012690697,0.00039292787924217906,0.0003266953579718566,0.0005960587375152066
2025-11-11 19:44:19.229527,41030.92860329374,308.1905642959728,40883.13513045212,11.452160201253141,40860.302711489814,2.0832107342416517,40856.08951511614,314.55074894630314,40854.78263178687,67.75861468358777,40876.0,13.83436,0.0004618571655369923,0.0005182476114479931,0.0002008607901799969,0.0005440229952281046,0.00030497124056032005,0.000555335308269543
2025-11-11 19:45:19.229527,41046.02462303072,20.414095491324286,40844.68800310135,10.618510827271377,40852.82360044784,86.05302792980063,40856.39870858886,303.6766772986812,40862.06863989946,8.766721342818034,40876.01,7.00655,0.00043450725663661825,0.0005747102701003301,0.0001905383156470267,0.0005101761360031879,0.0003004342857044415,0.0005195809907684412
2025-11-11 19:46:19.229527,41067.652454582945,2.5090009609307615,40825.970128874906,79.72452394262837,40851.54221251864,3.537159934143294,40900.943296084624,47.95714075983805,40862.79433996426,46.532883702853795,40905.31,12.13238,0.0004098161053773822,0.0005519279850204884,0.00018090430489680893,0.0006069736772565154,0.00028462189824353184,0.0005429267238020672
